combo_id,hand,canonical,card1,card2,rank1,rank2,suit1,suit2,is_suited,is_pair,hand_type,combos_in_class,equity_vs_random_pct,win_rate_pct,tie_rate_pct,equity_vs_top10pct,equity_vs_top25pct,playability_score,tier,gto_open_action
1,AsAh,AA,As,Ah,A,A,s,h,0,1,pair,6,85.20,84.78,0.85,82.50,83.10,10.0,Tier 1 (Premium),100% Open (All Positions)
2,AsAd,AA,As,Ad,A,A,s,d,0,1,pair,6,85.20,84.78,0.85,82.50,83.10,10.0,Tier 1 (Premium),100% Open (All Positions)
3,AsAc,AA,As,Ac,A,A,s,c,0,1,pair,6,85.20,84.78,0.85,82.50,83.10,10.0,Tier 1 (Premium),100% Open (All Positions)
4,AhAd,AA,Ah,Ad,A,A,h,d,0,1,pair,6,85.20,84.78,0.85,82.50,83.10,10.0,Tier 1 (Premium),100% Open (All Positions)
5,AhAc,AA,Ah,Ac,A,A,h,c,0,1,pair,6,85.20,84.78,0.85,82.50,83.10,10.0,Tier 1 (Premium),100% Open (All Positions)
6,AdAc,AA,Ad,Ac,A,A,d,c,0,1,pair,6,85.20,84.78,0.85,82.50,83.10,10.0,Tier 1 (Premium),100% Open (All Positions)
7,KsKh,KK,Ks,Kh,K,K,s,h,0,1,pair,6,82.40,81.98,0.85,74.30,76.80,9.8,Tier 1 (Premium),100% Open (All Positions)
8,KsKd,KK,Ks,Kd,K,K,s,d,0,1,pair,6,82.40,81.98,0.85,74.30,76.80,9.8,Tier 1 (Premium),100% Open (All Positions)
9,KsKc,KK,Ks,Kc,K,K,s,c,0,1,pair,6,82.40,81.98,0.85,74.30,76.80,9.8,Tier 1 (Premium),100% Open (All Positions)
10,KhKd,KK,Kh,Kd,K,K,h,d,0,1,pair,6,82.40,81.98,0.85,74.30,76.80,9.8,Tier 1 (Premium),100% Open (All Positions)
11,KhKc,KK,Kh,Kc,K,K,h,c,0,1,pair,6,82.40,81.98,0.85,74.30,76.80,9.8,Tier 1 (Premium),100% Open (All Positions)
12,KdKc,KK,Kd,Kc,K,K,d,c,0,1,pair,6,82.40,81.98,0.85,74.30,76.80,9.8,Tier 1 (Premium),100% Open (All Positions)
13,QsQh,QQ,Qs,Qh,Q,Q,s,h,0,1,pair,6,79.92,79.50,0.85,67.20,71.50,9.6,Tier 1 (Premium),100% Open (All Positions)
14,QsQd,QQ,Qs,Qd,Q,Q,s,d,0,1,pair,6,79.92,79.50,0.85,67.20,71.50,9.6,Tier 1 (Premium),100% Open (All Positions)
15,QsQc,QQ,Qs,Qc,Q,Q,s,c,0,1,pair,6,79.92,79.50,0.85,67.20,71.50,9.6,Tier 1 (Premium),100% Open (All Positions)
16,QhQd,QQ,Qh,Qd,Q,Q,h,d,0,1,pair,6,79.92,79.50,0.85,67.20,71.50,9.6,Tier 1 (Premium),100% Open (All Positions)
17,QhQc,QQ,Qh,Qc,Q,Q,h,c,0,1,pair,6,79.92,79.50,0.85,67.20,71.50,9.6,Tier 1 (Premium),100% Open (All Positions)
18,QdQc,QQ,Qd,Qc,Q,Q,d,c,0,1,pair,6,79.92,79.50,0.85,67.20,71.50,9.6,Tier 1 (Premium),100% Open (All Positions)
19,JsJh,JJ,Js,Jh,J,J,s,h,0,1,pair,6,77.47,77.05,0.85,61.10,66.80,9.2,Tier 1 (Premium),100% Open (All Positions)
20,JsJd,JJ,Js,Jd,J,J,s,d,0,1,pair,6,77.47,77.05,0.85,61.10,66.80,9.2,Tier 1 (Premium),100% Open (All Positions)
21,JsJc,JJ,Js,Jc,J,J,s,c,0,1,pair,6,77.47,77.05,0.85,61.10,66.80,9.2,Tier 1 (Premium),100% Open (All Positions)
22,JhJd,JJ,Jh,Jd,J,J,h,d,0,1,pair,6,77.47,77.05,0.85,61.10,66.80,9.2,Tier 1 (Premium),100% Open (All Positions)
23,JhJc,JJ,Jh,Jc,J,J,h,c,0,1,pair,6,77.47,77.05,0.85,61.10,66.80,9.2,Tier 1 (Premium),100% Open (All Positions)
24,JdJc,JJ,Jd,Jc,J,J,d,c,0,1,pair,6,77.47,77.05,0.85,61.10,66.80,9.2,Tier 1 (Premium),100% Open (All Positions)
25,TsTh,TT,Ts,Th,T,T,s,h,0,1,pair,6,75.01,74.59,0.85,56.80,63.20,8.9,Tier 2 (Strong),100% Open (All Positions)
26,TsTd,TT,Ts,Td,T,T,s,d,0,1,pair,6,75.01,74.59,0.85,56.80,63.20,8.9,Tier 2 (Strong),100% Open (All Positions)
27,TsTc,TT,Ts,Tc,T,T,s,c,0,1,pair,6,75.01,74.59,0.85,56.80,63.20,8.9,Tier 2 (Strong),100% Open (All Positions)
28,ThTd,TT,Th,Td,T,T,h,d,0,1,pair,6,75.01,74.59,0.85,56.80,63.20,8.9,Tier 2 (Strong),100% Open (All Positions)
